method,method_label,method_kind,regime,budget_fraction,budget_bytes,used_protection_bytes,budget_utilization,protected_expert_count,total_projected_expert_bytes,effective_bits_per_weight,coverage_general,coverage_math,coverage_coding,coverage_reasoning,coverage_min,coverage_mean,routing_coverage_min
random_seed1001,Random (seed 1001),random,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.17153437635549945,0.15842227545395457,0.18669581194281504,0.19420157285921907,0.15842227545395457,0.17771350915287204,0.15163898409350557
random_seed1002,Random (seed 1002),random,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.1840066888166512,0.25666414014730043,0.21935728323073594,0.1460757264486451,0.1460757264486451,0.20152595966083317,0.14885575589459085
random_seed1003,Random (seed 1003),random,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.19873250789269375,0.21000504593939426,0.2170988312646762,0.2342405673191463,0.19873250789269375,0.21501923810397763,0.175739761893
random_seed1004,Random (seed 1004),random,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.21390150364874655,0.1938053956660795,0.2143171059250764,0.17513755133935624,0.17513755133935624,0.19929038914481467,0.18637309292649096
random_seed1005,Random (seed 1005),random,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.18747118300955656,0.22096256555842692,0.1961439619574488,0.2707738852354691,0.18747118300955656,0.21883789894022534,0.18549622091587212
robust_functional,Robust-Functional,deterministic_milp,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.7200118245633095,0.7203755865655739,0.719617406754772,0.7196257129000131,0.719617406754772,0.7199076326959171,0.5904299583911234
robust_routing,Robust-Routing,deterministic_milp,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.6394350492540387,0.6490438929368748,0.7338128785117275,0.6673975215872892,0.6394350492540387,0.6724223355724825,0.6905703488883035
average_specialization,Average-Specialization,deterministic_milp,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.6534314688931833,0.730388918941125,0.8509715837169156,0.6811360310411921,0.6534314688931833,0.728982000648104,0.5604715672676839
global_importance,Global-Importance,deterministic_milp,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.20270578741682505,0.512207832496625,0.856804274704831,0.6055742305374933,0.20270578741682505,0.5443230312889435,0.1612954690491384
general_only,General-Only,deterministic_milp,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.7654279109057442,0.296916462149576,0.11768961917014024,0.17555266853214777,0.11768961917014024,0.3388966651894021,0.11154473151212763
math_only,Math-Only,deterministic_milp,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.05352595367165932,0.8708424984163271,0.22540011164676593,0.3347089497260248,0.05352595367165932,0.37111937836519426,0.04565517974898957
coding_only,Coding-Only,deterministic_milp,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.07784457460015923,0.2952930353024292,0.9957536819341702,0.3357233452074235,0.07784457460015923,0.42615365926104554,0.05179748989576683
reasoning_only,Reasoning-Only,deterministic_milp,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.024601807264154552,0.4377151062479681,0.2090121569575684,0.840675066454243,0.024601807264154552,0.3780010342309835,0.022867475005318008
random_seed1001,Random (seed 1001),random,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.31114044186706635,0.25261971935725874,0.3265832596243446,0.2505349717865938,0.2505349717865938,0.2852195981588158,0.2509361997226075
random_seed1002,Random (seed 1002),random,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.3277844673884111,0.33318792458418534,0.3540847193245515,0.3027953480318731,0.3027953480318731,0.32946311483225527,0.2754854368932039
random_seed1003,Random (seed 1003),random,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.3285907965932911,0.30462487964258816,0.3010746826537062,0.33843860621958716,0.3010746826537062,0.31818224127729317,0.26547448500716286
random_seed1004,Random (seed 1004),random,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.3005547737565689,0.2704655611478623,0.3521216705751365,0.2623833078212518,0.2623833078212518,0.29638132832520486,0.27447988904299586
random_seed1005,Random (seed 1005),random,3to8,0.3,1207959552,1207173120,0.9993489583333334,307,3723755520,4.6240234375,0.278243456403808,0.3217554117442791,0.325921369901473,0.36766826290675714,0.278243456403808,0.32339712523907926,0.28387577111252926
