variant,capacity,resolved_examples,cumulative_mixture_rank_loss,best_fixed_adviser_rank_loss,best_fixed_adviser_by_rank_loss,empirical_rank_regret,empirical_rank_regret_per_example,cumulative_mixture_cost_loss,best_fixed_adviser_cost_loss,best_fixed_adviser_by_cost_loss,empirical_cost_regret,mean_mixture_rank_loss,mean_adviser_rank_loss,adviser_order
RACE_STATIC_EXTENDED,8,0,0.0,0.0,MARKOV_H1,0.0,0.0,0.0,0.0,MARKOV_H1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_STATIC_EXTENDED,12,2666046,1132099.5184885853,848028.2963834585,STAGE1_HYBRID,284071.2221051267,0.10655150815294512,1096764.4863072666,766961.5832586172,STAGE1_HYBRID,329802.90304864943,0.4246361534979461,"[0.3588792729026083, 0.3579903937875113, 0.3675899545060941, 0.38763590073372023, 0.41199393496028835, 0.42743295638645973, 0.3468034467475262, 0.3372777416969945, 0.5339448836230396, 0.318084645345001]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_STATIC_EXTENDED,16,2530828,1091142.995664803,859386.9630351379,STAGE1_HYBRID,231756.03262966522,0.09157320553971476,1049520.1333614017,774133.8424796211,STAGE1_HYBRID,275386.2908817807,0.4311407158703804,"[0.3772356781934175, 0.3756528332975977, 0.3835365829616339, 0.40203146630517095, 0.42495293340405865, 0.4402168280258055, 0.3697646446086857, 0.3627800674210095, 0.5177925526627065, 0.3395675103306656]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_STATIC_EXTENDED,24,2156514,938733.1499982269,783401.858143405,STAGE1_HYBRID,155331.29185482184,0.07202888172987601,896041.9537989575,696358.618342533,STAGE1_HYBRID,199683.3354564245,0.4353012083381916,"[0.40163698866528275, 0.397818663797666, 0.40190257520013295, 0.41569085414984863, 0.43351958081272607, 0.4464949188482088, 0.38759075895475115, 0.38413535764336326, 0.4963442866013962, 0.3632723266083156]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_STATIC_EXTENDED,32,1667208,726834.5115856184,621992.0002020036,STAGE1_HYBRID,104842.51138361474,0.06288508175561462,690967.0032680004,548489.215578563,STAGE1_HYBRID,142477.7876894374,0.4359591074332767,"[0.4156025997152463, 0.40938952083113733, 0.410101077379674, 0.4191731337390215, 0.4322660081187353, 0.44339573729679543, 0.3915909566207785, 0.38974166657577675, 0.48651714454163775, 0.37307402567766207]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_STATIC_PERLAYER,8,0,0.0,0.0,MARKOV_H1,0.0,0.0,0.0,0.0,MARKOV_H1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC_PERLAYER,12,2666562,1132543.135218759,899136.9130439601,LFU_DECAY,233406.22217479895,0.08753076889822886,1097194.2319761137,844053.3388600454,LFU_DECAY,253140.89311606833,0.42472034598061437,"[0.3584555105581541, 0.357538275133818, 0.36717424914426067, 0.38720906289782925, 0.41159195997443426, 0.42700556700715403, 0.34652558351879303, 0.3371895770823855, 0.5339010717076061]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC_PERLAYER,16,2532022,1091686.7009464405,918714.97753028,LFU_DECAY,172971.72341616044,0.06831367318931686,1050013.9787183586,843958.2026015704,MARKOV_H1,206055.77611678815,0.4311521388623165,"[0.37684751971514796, 0.37532117784012303, 0.3833627116938476, 0.40178781648207884, 0.4246231342629766, 0.43987301247525185, 0.36964236620385266, 0.3628384656729997, 0.5179660863148369]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC_PERLAYER,24,2156725,938512.6028856568,829091.7868199864,LFU_DECAY,109420.81606567034,0.05073470936984101,895720.1624191223,755287.8482236207,MARKOV_H1,140432.31419550162,0.43515636109641087,"[0.40139079455353277, 0.3976020178975584, 0.40173509843861394, 0.4155165353672165, 0.43322157677309653, 0.4462287887859717, 0.3877577533706587, 0.3844216517265699, 0.4963519611624116]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_STATIC_PERLAYER,32,1666473,726067.756881568,648186.0064761569,LFU_DECAY,77881.75040541112,0.04673448078991446,690070.4073968334,598927.1139788455,MARKOV_H1,91143.29341798788,0.43569128145584596,"[0.4162121608827176, 0.41001273149509265, 0.4106212944464543, 0.41941594522067893, 0.4321677060505342, 0.4432627091983104, 0.3907800759592655, 0.3889568006659315, 0.48623956703843313]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
