variant,capacity,spare_residency,mean_weight_GATE_EWMA,mean_weight_LFU_DECAY,mean_weight_MARKOV_H1,mean_weight_MARKOV_H16,mean_weight_MARKOV_H2,mean_weight_MARKOV_H32,mean_weight_MARKOV_H4,mean_weight_MARKOV_H8,mean_weight_PERSISTENCE,markov_H1,markov_H2,markov_H4,markov_H8,markov_H16,markov_H32,markov_mass,weighted_mean_markov_horizon
RACE_STATIC,8,0,0.13138043683084982,0.111719304006725,0.1521807004916651,0.09251083291307924,0.0019984102324220737,0.0,0.09510628906289041,0.05349153216161974,0.36161249430074877,0.1521807004916651,0.0019984102324220737,0.09510628906289041,0.05349153216161974,0.09251083291307924,0.0,0.39528776486167655,6.184629220602808
RACE_STATIC,12,4,0.13138043683084982,0.111719304006725,0.1521807004916651,0.09251083291307924,0.0019984102324220737,0.0,0.09510628906289041,0.05349153216161974,0.36161249430074877,0.1521807004916651,0.0019984102324220737,0.09510628906289041,0.05349153216161974,0.09251083291307924,0.0,0.39528776486167655,6.184629220602808
RACE_STATIC,16,8,0.13138043683084982,0.111719304006725,0.1521807004916651,0.09251083291307924,0.0019984102324220737,0.0,0.09510628906289041,0.05349153216161974,0.36161249430074877,0.1521807004916651,0.0019984102324220737,0.09510628906289041,0.05349153216161974,0.09251083291307924,0.0,0.39528776486167655,6.184629220602808
RACE_STATIC,24,16,0.13138043683084982,0.111719304006725,0.1521807004916651,0.09251083291307924,0.0019984102324220737,0.0,0.09510628906289041,0.05349153216161974,0.36161249430074877,0.1521807004916651,0.0019984102324220737,0.09510628906289041,0.05349153216161974,0.09251083291307924,0.0,0.39528776486167655,6.184629220602808
RACE_STATIC,32,24,0.13138043683084982,0.111719304006725,0.1521807004916651,0.09251083291307924,0.0019984102324220737,0.0,0.09510628906289041,0.05349153216161974,0.36161249430074877,0.1521807004916651,0.0019984102324220737,0.09510628906289041,0.05349153216161974,0.09251083291307924,0.0,0.39528776486167655,6.184629220602808
RACE_STATIC_EXTENDED,8,0,0.13785171771639224,0.11072192402415353,0.14043983903113005,0.0978852207270827,0.026901643150017425,0.0,0.08672590430373092,0.041360884708408166,0.35811286633908507,0.14043983903113005,0.026901643150017425,0.08672590430373092,0.041360884708408166,0.0978852207270827,0.0,0.39331349192036924,6.199119536790051
RACE_STATIC_EXTENDED,12,4,0.13785171771639224,0.11072192402415353,0.14043983903113005,0.0978852207270827,0.026901643150017425,0.0,0.08672590430373092,0.041360884708408166,0.35811286633908507,0.14043983903113005,0.026901643150017425,0.08672590430373092,0.041360884708408166,0.0978852207270827,0.0,0.39331349192036924,6.199119536790051
RACE_STATIC_EXTENDED,16,8,0.13785171771639224,0.11072192402415353,0.14043983903113005,0.0978852207270827,0.026901643150017425,0.0,0.08672590430373092,0.041360884708408166,0.35811286633908507,0.14043983903113005,0.026901643150017425,0.08672590430373092,0.041360884708408166,0.0978852207270827,0.0,0.39331349192036924,6.199119536790051
RACE_STATIC_EXTENDED,24,16,0.13785171771639224,0.11072192402415353,0.14043983903113005,0.0978852207270827,0.026901643150017425,0.0,0.08672590430373092,0.041360884708408166,0.35811286633908507,0.14043983903113005,0.026901643150017425,0.08672590430373092,0.041360884708408166,0.0978852207270827,0.0,0.39331349192036924,6.199119536790051
RACE_STATIC_EXTENDED,32,24,0.13785171771639224,0.11072192402415353,0.14043983903113005,0.0978852207270827,0.026901643150017425,0.0,0.08672590430373092,0.041360884708408166,0.35811286633908507,0.14043983903113005,0.026901643150017425,0.08672590430373092,0.041360884708408166,0.0978852207270827,0.0,0.39331349192036924,6.199119536790051
