workload,regime,capacity,best_simple_policy,best_simple_cost,oracle_cost,absolute_gap,headroom,headroom_ci_low,headroom_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,mean_sequence_absolute_gap,median_sequence_absolute_gap,paired_standardized_effect,sequences,normalized_frequency_entropy_mean,top_10_traffic_share_mean,gini_mean,consecutive_jaccard_mean,reuse_within_10_events,activity_lag1_autocorrelation_mean,adjacent_segment_js_mean,pairwise_domain_js_mean
repeated_domain_cycle,repeated,16,lfu_decay(alpha=0.90),16646.0,11751.0,4895.0,0.2940646401537907,0.27424469039784627,0.3152390438247012,4620.0,5168.0,489.5,518.5,4.905353044699851,10,0.9593948490250301,0.3259521484375,0.30899200439453123,0.29450193223704196,0.8277787515336655,0.33326802507836983,0.29387912092707313,0.2799578478655731
repeated_domain_cycle,repeated,24,lfu_decay(alpha=0.90),12057.0,7133.0,4924.0,0.40839346437754004,0.3805952841128721,0.43748406289842756,4701.0,5147.349999999999,492.4,541.0,4.374697408343566,10,0.9593948490250301,0.3259521484375,0.30899200439453123,0.29450193223704196,0.8277787515336655,0.33326802507836983,0.29387912092707313,0.2799578478655731
repeated_domain_cycle,repeated,32,lfu_decay(alpha=0.90),8546.0,4482.0,4064.0,0.47554411420547626,0.4336751944100079,0.5229826353421859,3803.0,4294.0,406.4,433.5,3.7093854312475405,10,0.9593948490250301,0.3259521484375,0.30899200439453123,0.29450193223704196,0.8277787515336655,0.33326802507836983,0.29387912092707313,0.2799578478655731
stationary_coding,stationary,8,lru,16374.0,16374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.7893053642638729,0.6280517578125,0.6724882125854492,0.36049358049358043,0.8848875806350598,0.4311624649859943,,
stationary_coding,stationary,12,lfu,10814.0,9058.0,1756.0,0.162382097281302,0.15206667016726835,0.17247622657017284,1652.925,1844.0,219.5,234.0,10.460856086305922,8,0.7893053642638729,0.6280517578125,0.6724882125854492,0.36049358049358043,0.8848875806350598,0.4311624649859943,,
stationary_coding,stationary,16,lfu,7877.0,6047.0,1830.0,0.2323219499809572,0.2153045976622777,0.25060405538207436,1661.0,1991.1,228.75,219.5,6.96640247888729,8,0.7893053642638729,0.6280517578125,0.6724882125854492,0.36049358049358043,0.8848875806350598,0.4311624649859943,,
stationary_coding,stationary,24,lfu,4453.0,3102.0,1351.0,0.30339097237817203,0.2613841524573721,0.34975121003912696,1233.975,1468.05,168.875,168.0,7.356435177762252,8,0.7893053642638729,0.6280517578125,0.6724882125854492,0.36049358049358043,0.8848875806350598,0.4311624649859943,,
stationary_coding,stationary,32,lfu,2637.0,1803.0,834.0,0.3162684869169511,0.20178368506493508,0.42826881414671736,684.95,999.05,104.25,95.5,3.3157954160766097,8,0.7893053642638729,0.6280517578125,0.6724882125854492,0.36049358049358043,0.8848875806350598,0.4311624649859943,,
stationary_general,stationary,8,lru,19767.0,19767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9551481663951406,0.321685791015625,0.3240242004394531,0.2796718477600831,0.8198998393650194,0.31235994397759104,,
stationary_general,stationary,12,lfu_decay(alpha=0.90),16392.0,13082.0,3310.0,0.20192776964372866,0.18511702523762225,0.21775905727693315,3062.925,3552.05,413.75,407.5,8.435224428721572,8,0.9551481663951406,0.321685791015625,0.3240242004394531,0.2796718477600831,0.8198998393650194,0.31235994397759104,,
