domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,2,2,model.layers.2.mlp,0,0.007780082987551867,55.0,0.0025617037571317425,53.0,0.002690114245143298,51.0,0.007780082987551867,0.007290982742842119,0.0032231831334412465
general,2,2,model.layers.2.mlp,1,0.014522821576763486,31.5,0.00477289856716805,34.0,0.0058199572241652555,25.0,0.014522821576763486,0.013584365869659177,0.006973230968218504
general,2,2,model.layers.2.mlp,2,0.01867219917012448,18.0,0.005674116839017116,25.0,0.0060349177739184925,24.0,0.01867219917012448,0.01614936459337679,0.007230787768852814
general,2,2,model.layers.2.mlp,3,0.010114107883817428,44.5,0.003040867722380705,48.0,0.0028526899540078096,49.0,0.010114107883817428,0.008654753316194298,0.0034179745939397713
general,2,2,model.layers.2.mlp,4,0.030860995850622408,4.0,0.012341004684258298,4.0,0.021993097381596743,4.0,0.030860995850622408,0.03512430035352977,0.02635121562605509
general,2,2,model.layers.2.mlp,5,0.0015560165975103733,64.0,0.00036165229512448134,64.0,0.00039524779001954186,64.0,0.0015560165975103733,0.0010293152107541815,0.00047356948227046517
general,2,2,model.layers.2.mlp,6,0.00933609958506224,48.0,0.0028172409880705394,51.0,0.0033166965322870435,46.0,0.00933609958506224,0.00801827899469854,0.003973927999865008
general,2,2,model.layers.2.mlp,7,0.008039419087136929,54.0,0.002314017521395228,55.0,0.001891525794608959,59.0,0.008039419087136929,0.006586031569090306,0.002266347627674038
general,2,2,model.layers.2.mlp,8,0.0028526970954356845,63.0,0.0007942168049792531,62.0,0.0008085466674007321,62.0,0.0028526970954356845,0.002260456933420948,0.0009687670275235269
general,2,2,model.layers.2.mlp,9,0.02411825726141079,10.0,0.007362967210191909,12.0,0.007028939585004357,18.0,0.02411825726141079,0.02095607921726633,0.008421783408368494
general,2,2,model.layers.2.mlp,10,0.017894190871369293,21.0,0.004096446690223029,40.0,0.0031672657594950366,47.0,0.017894190871369293,0.011659085107807343,0.0037948862556900754
general,2,2,model.layers.2.mlp,11,0.008817427385892116,50.5,0.002293250372795643,56.0,0.002612235542402228,52.0,0.008817427385892116,0.006526925233458763,0.0031298721071223888
general,2,2,model.layers.2.mlp,12,0.007002074688796681,57.0,0.0018814530115404565,59.0,0.0020069282084579786,58.0,0.007002074688796681,0.00535488984642354,0.0024046180057994667
general,2,2,model.layers.2.mlp,13,0.009595435684647304,46.5,0.002923862568075726,49.0,0.003398915018530802,44.0,0.009595435684647304,0.008321739571538533,0.004072438774489688
general,2,2,model.layers.2.mlp,14,0.019190871369294607,15.5,0.00615492698067946,19.0,0.0075139044107737874,16.0,0.019190871369294607,0.017517820425041228,0.009002848115770552
general,2,2,model.layers.2.mlp,15,0.009595435684647304,46.5,0.0031421708862811202,46.0,0.0038529824295479233,42.0,0.009595435684647304,0.008943076904640848,0.0046164834831030795
general,2,2,model.layers.2.mlp,16,0.01867219917012448,18.0,0.0063286619067686725,18.0,0.007789287762523192,14.0,0.01867219917012448,0.01801229537922706,0.009332801007619544
general,2,2,model.layers.2.mlp,17,0.012188796680497925,38.0,0.004633606716804979,36.0,0.004496922293345587,36.0,0.012188796680497925,0.013187920935545171,0.005388025476789866
general,2,2,model.layers.2.mlp,18,0.006742738589211619,58.0,0.0020655715119294606,58.0,0.002331479085431554,53.0,0.006742738589211619,0.005878917968425143,0.00279348138381153
general,2,2,model.layers.2.mlp,19,0.00907676348547718,49.0,0.0026541428941908715,52.0,0.0021120561789180234,56.0,0.00907676348547718,0.0075540780172995954,0.0025305779726861803
general,2,2,model.layers.2.mlp,20,0.017894190871369293,21.0,0.006097690693075726,21.0,0.008130709474512155,11.0,0.017894190871369293,0.017354917597568926,0.009741878319283994
general,2,2,model.layers.2.mlp,21,0.016856846473029045,24.5,0.005600038900414938,27.0,0.0057315657000324045,26.0,0.016856846473029045,0.015938527969325253,0.006867323916040876
general,2,2,model.layers.2.mlp,22,0.01737551867219917,23.0,0.0068124794861093105,14.0,0.0076022789933374805,15.0,0.01737551867219917,0.019389310817423504,0.009108734869263817
general,2,2,model.layers.2.mlp,23,0.014004149377593362,35.0,0.0049433411404304975,31.0,0.005727966760451369,27.0,0.014004149377593362,0.014069470307220496,0.006863011816145188
