bit_width,intervention_id,pair_id,role,target_domain,layer,expert_id,domain,is_target_domain,examples,evaluated_tokens,baseline_nll,quantized_nll,delta_nll,delta_nll_ci_low,delta_nll_ci_high,normalized_relative_delta_nll,relative_delta_percent,positive_delta_example_fraction,routing_coverage,routing_frequency,functional_importance,functional_rank,quantization_distortion,risk_functional,risk_routing,effective_bits_per_weight,projected_bytes,compression_ratio_vs_bf16,bootstrap_replicates
4,specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,reasoning,False,100,6400,1.9561886489391327,1.9561311054229735,-5.7543516159057615e-05,-0.0005176120400428772,0.0004187806546688077,-2.941613846408128e-05,-0.002941613846408128,0.51,0.09875,0.01234375,0.005877504662642729,43.0,0.014222554903027563,8.35931327572367e-05,0.0001755596620842465,4.125,3244032,3.878787878787879,1000
4,control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,general,False,100,6400,2.991833852529526,2.9921574795246126,0.00032362699508666995,-0.00017011076211929322,0.0007882800102233886,0.00010817010938393216,0.010817010938393214,0.6,0.06140625,0.00767578125,0.005947912464197026,55.0,0.013850269571035216,8.238019101404915e-05,0.00010631163948079765,4.125,3244032,3.878787878787879,1000
4,control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,math,False,100,6400,2.2662287080287933,2.265891660451889,-0.0003370475769042969,-0.0008444840610027312,0.00012381622195243834,-0.0001487261968353878,-0.01487261968353878,0.43,0.07109375,0.00888671875,0.008922510455453348,36.0,0.013850269571035216,0.00012357917505840908,0.0001230834502894731,4.125,3244032,3.878787878787879,1000
4,control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,coding,True,100,6400,1.7902204298973083,1.790830991268158,0.0006105613708496094,-0.0001619834005832672,0.001281842440366745,0.0003410537387759745,0.03410537387759745,0.55,0.4340625,0.0542578125,0.04295108828757004,8.0,0.013850269571035216,0.0005948841511521784,0.0007514853294596842,4.125,3244032,3.878787878787879,1000
4,control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,reasoning,False,100,6400,1.9561886489391327,1.9561504077911378,-3.824114799499512e-05,-0.0004492352306842804,0.00038500344753265365,-1.9548803749440938e-05,-0.001954880374944094,0.41,0.06421875,0.00802734375,0.00703134350397754,39.0,0.013850269571035216,9.738600297663625e-05,0.00011118087487686472,4.125,3244032,3.878787878787879,1000
4,specialist_coding_L11_E27,coding_L11_E27,specialist,coding,11,27,general,False,100,6400,2.991833852529526,2.991721842288971,-0.00011201024055480957,-0.0007098071277141571,0.0004375961720943449,-3.74386567155484e-05,-0.00374386567155484,0.5,0.05859375,0.00732421875,0.004144519735752082,55.0,0.014097038106684511,5.842545264880312e-05,0.0001032497908204432,4.125,3244032,3.878787878787879,1000
4,specialist_coding_L11_E27,coding_L11_E27,specialist,coding,11,27,math,False,100,6400,2.2662287080287933,2.2658704483509062,-0.0003582596778869629,-0.0008671001493930817,0.0001234339177608488,-0.00015808628520930866,-0.015808628520930866,0.46,0.155625,0.019453125,0.008985320793809662,36.0,0.014097038106684511,0.00012666640963111952,0.00027423144441909717,4.125,3244032,3.878787878787879,1000
4,specialist_coding_L11_E27,coding_L11_E27,specialist,coding,11,27,coding,True,100,6400,1.7902204298973083,1.7921538591384887,0.00193342924118042,0.0007254602909088135,0.0030561686456203455,0.0010799950714959312,0.10799950714959311,0.62,0.96328125,0.12041015625,0.1902995740411176,1.0,0.014097038106684511,0.0026826603469434656,0.001697426561088086,4.125,3244032,3.878787878787879,1000
4,specialist_coding_L11_E27,coding_L11_E27,specialist,coding,11,27,reasoning,False,100,6400,1.9561886489391327,1.9559739875793456,-0.0002146613597869873,-0.0007446904480457306,0.00030403438210487336,-0.00010973448798171948,-0.010973448798171947,0.51,0.07015625,0.00876953125,0.004675163127152328,47.0,0.014097038106684511,6.59059527584327e-05,0.00012362441620901066,4.125,3244032,3.878787878787879,1000
4,control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,11,7,general,False,100,6400,2.991833852529526,2.991602255105972,-0.0002315974235534668,-0.0009425026178359985,0.0003904353380203247,-7.740985461397081e-05,-0.007740985461397082,0.47,0.135625,0.016953125,0.009623685597532516,43.0,0.014164655693410709,0.0001363161929906836,0.00024013517855235342,4.125,3244032,3.878787878787879,1000
