domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,0,0,model.layers.0.mlp,32,0.008740805967056873,54.0,0.0034315377384297628,53.0,0.0025982853484153904,45.0,0.008740805967056873,0.009008178491381651,0.010015858704988488
general,0,0,model.layers.0.mlp,33,0.01559100797679478,26.0,0.006149306218759712,24.0,0.004129578972459734,17.0,0.01559100797679478,0.016142631158151982,0.015918682497468247
general,0,0,model.layers.0.mlp,34,0.009530715839635346,50.0,0.00241401535630115,60.0,0.0013047835091249545,57.0,0.009530715839635346,0.006337066023481277,0.005029673617628131
general,0,0,model.layers.0.mlp,35,0.00849476846576194,55.0,0.003611209861085932,50.0,0.0022949322612969094,48.0,0.00849476846576194,0.009479838334339638,0.00884649458562656
general,0,0,model.layers.0.mlp,36,0.007173935564073345,59.0,0.003471751515882368,52.0,0.0021470134455923292,51.0,0.007173935564073345,0.009113744250151809,0.008276297798422318
general,0,0,model.layers.0.mlp,37,0.012068786905625194,41.0,0.005012128879946649,33.0,0.0029125391864757624,39.0,0.012068786905625194,0.013157410762741156,0.011227242990179718
general,0,0,model.layers.0.mlp,38,0.017222625090645396,15.0,0.010059134992036154,6.0,0.006615780184050644,6.0,0.017222625090645396,0.026406378243308756,0.025502479774642716
general,0,0,model.layers.0.mlp,39,0.013402569149487205,36.0,0.003080375352869574,55.0,0.0009019007628406732,59.0,0.013402569149487205,0.00808633712179407,0.003476643014610631
general,0,0,model.layers.0.mlp,40,0.013583859939915052,35.0,0.004784187578505387,39.0,0.003467560454888145,26.0,0.013583859939915052,0.012559038812479493,0.013366736485792962
general,0,0,model.layers.0.mlp,41,0.04520615352740081,2.0,0.022084483430507354,1.0,0.02897502717155935,1.0,0.04520615352740081,0.057974291351667956,0.11169280475700262
general,0,0,model.layers.0.mlp,42,0.012185330985185953,40.0,0.004953136027174195,34.0,0.002935166580790277,36.0,0.012185330985185953,0.013002547786432105,0.011314466968275294
general,0,0,model.layers.0.mlp,43,0.012470216513001139,38.0,0.0028108671688853205,57.0,0.0007535202900148634,61.0,0.012470216513001139,0.00737884735735709,0.002904666633606499
general,0,0,model.layers.0.mlp,44,0.015694602714182118,25.0,0.006873824442530819,18.0,0.0038563648835411163,20.0,0.015694602714182118,0.01804457424532765,0.014865498053161568
general,0,0,model.layers.0.mlp,45,0.01515073034289858,29.0,0.006467108873212991,21.0,0.0040589048472476925,18.0,0.01515073034289858,0.016976899423451614,0.015646248196649754
general,0,0,model.layers.0.mlp,46,0.024357712628198486,8.0,0.009981818314254636,7.0,0.005070039809697973,11.0,0.024357712628198486,0.02620341313352236,0.019543966713883518
general,0,0,model.layers.0.mlp,47,0.01042422044960116,48.0,0.004640081886379235,42.0,0.0030408692262054887,34.0,0.01042422044960116,0.012180744911830018,0.01172192905163266
general,0,0,model.layers.0.mlp,48,0.012457267170827723,39.0,0.0046580832424181606,41.0,0.0029324217309977902,37.0,0.012457267170827723,0.012228000527430432,0.011303886133608797
general,0,0,model.layers.0.mlp,49,0.013234227701232778,37.0,0.005623036859493163,29.0,0.0030463000480268924,33.0,0.013234227701232778,0.01476111398300139,0.011742863759226776
general,0,0,model.layers.0.mlp,50,0.011926344141717601,42.0,0.005477280884990417,30.0,0.003362634888463557,28.0,0.011926344141717601,0.0143784879026288,0.012962269883042618
general,0,0,model.layers.0.mlp,51,0.02606702579508961,6.0,0.008981829392012199,9.0,0.0063955723646189604,7.0,0.02606702579508961,0.023578328000381364,0.02465362366016458
general,0,0,model.layers.0.mlp,52,0.001799958562105045,64.0,0.0003494931344206464,64.0,0.00021014000266662264,64.0,0.001799958562105045,0.0009174593946952343,0.0008100467395770848
general,0,0,model.layers.0.mlp,53,0.016238475085465658,20.0,0.007351875206380141,14.0,0.0038516654553968376,21.0,0.016238475085465658,0.019299512100292515,0.014847382718632954
general,0,0,model.layers.0.mlp,54,0.02241531130218585,9.0,0.00975378849191961,8.0,0.005725859393560861,10.0,0.02241531130218585,0.025604808805804284,0.02207201710370733
general,0,0,model.layers.0.mlp,55,0.013933492178597327,32.0,0.006102630416062364,25.0,0.0029966887495223166,35.0,0.013933492178597327,0.016020101845063726,0.011551622348310964
general,0,0,model.layers.0.mlp,56,0.008935046099658138,52.5,0.003983503448571688,48.0,0.00260091670493113,44.0,0.008935046099658138,0.010457151522450784,0.010026002046280921
general,0,0,model.layers.0.mlp,57,0.021211022480058014,10.0,0.005896503192012846,28.0,0.004183901641079858,15.0,0.021211022480058014,0.01547899433941795,0.016128085276769944
general,0,0,model.layers.0.mlp,58,0.014503263234227702,31.0,0.0040562739461663475,47.0,0.0037491428616129524,23.0,0.014503263234227702,0.010648182390011434,0.014452179084038097
general,0,0,model.layers.0.mlp,59,0.013661555992955559,34.0,0.006561611250226614,20.0,0.003729190319800848,24.0,0.013661555992955559,0.01722497895656148,0.014375266115369245
general,0,0,model.layers.0.mlp,60,0.01591474153113022,23.0,0.005997556115164975,26.0,0.0038002872109022595,22.0,0.01591474153113022,0.015744269804302328,0.014649330092241522
general,0,0,model.layers.0.mlp,61,0.01617372837459857,21.0,0.0047384728597974725,40.0,0.0032719346392376058,29.0,0.01617372837459857,0.012439032454632286,0.012612638969213854
general,0,0,model.layers.0.mlp,62,0.008196933595773335,56.0,0.0035517870496866257,51.0,0.002151943580515194,50.0,0.008196933595773335,0.009323846667528012,0.008295302460406061
