method,method_label,method_kind,regime,budget_fraction,mean_relative_delta,mean_relative_delta_ci_low,mean_relative_delta_ci_high,median_relative_delta,worst_relative_delta,worst_relative_delta_ci_low,worst_relative_delta_ci_high,worst_domain,worst_raw_delta_nll,mean_raw_delta_nll,mean_recovery,min_recovery,relative_delta_general,relative_delta_general_ci_low,relative_delta_general_ci_high,delta_nll_general,recovery_general,recovery_general_ci_low,recovery_general_ci_high,relative_delta_math,relative_delta_math_ci_low,relative_delta_math_ci_high,delta_nll_math,recovery_math,recovery_math_ci_low,recovery_math_ci_high,relative_delta_coding,relative_delta_coding_ci_low,relative_delta_coding_ci_high,delta_nll_coding,recovery_coding,recovery_coding_ci_low,recovery_coding_ci_high,relative_delta_reasoning,relative_delta_reasoning_ci_low,relative_delta_reasoning_ci_high,delta_nll_reasoning,recovery_reasoning,recovery_reasoning_ci_low,recovery_reasoning_ci_high
reasoning_only,Reasoning-Only,deterministic_milp,3to8,0.2,0.04400557404863897,0.039303454237350294,0.04920704929649848,0.0470459922232856,0.059645578393270095,0.05413410831118019,0.07359007196698673,coding,0.16375319004058841,0.10029211550951,0.06255444556474682,0.017890670299530065,0.05743182072279751,0.044133694704727645,0.07359007196698673,0.16375319004058841,0.07341869831085202,0.05644673347473127,0.09123007023334485,0.03666016372377369,0.028226110123159755,0.04505031648817486,0.08221386194229119,0.0739262890815735,0.06041652768850335,0.08691407704353298,0.059645578393270095,0.05268486507602322,0.0669176194545826,0.1125784039497375,0.017890670299530065,0.00603178715705881,0.03013229161500951,0.022284733354714568,0.014942690773681124,0.029852656106504758,0.04262300610542291,0.08498212456703169,0.06732407981157298,0.10422837454080577
robust_functional,Robust-Functional,deterministic_milp,3to8,0.2,0.04127275666705497,0.036647084573682036,0.046249629302342415,0.043805458659648286,0.050717385657801525,0.04340813316010815,0.06481054837901422,general,0.14460857391357385,0.09443110466003407,0.06841545641422275,0.047181477546691664,0.050717385657801525,0.03830502340103856,0.06481054837901422,0.14460857391357385,0.09256331443786658,0.07110165297985079,0.11320316481590299,0.045562741250090126,0.03802559770239676,0.05381626734827107,0.10217872858047494,0.05396142244338975,0.04061850410699815,0.06633964210748673,0.026762723691121787,0.020063443629663925,0.0335136090218846,0.050513463020324556,0.07995561122894301,0.06897259289026256,0.0905309431552886,0.042048176069206446,0.033468334560779155,0.05174576456068512,0.08042365312576294,0.047181477546691664,0.032817160189152025,0.06204432988166815
robust_routing,Robust-Routing,deterministic_milp,3to8,0.2,0.05289536928327217,0.047771384501768654,0.05868617183976849,0.055261342029094704,0.06153892403939042,0.054569423864003715,0.07755414662258163,general,0.17546361923217768,0.12008928209543218,0.04275727897882464,0.02583302140235899,0.06153892403939042,0.04759756889972,0.07755414662258163,0.17546361923217768,0.06170826911926275,0.04503740799427025,0.0761304547786713,0.05731282099922504,0.04972411408338371,0.06548350645692762,0.1285293865203858,0.02761076450347888,0.017910004734992834,0.036924218595027786,0.03951986903550884,0.030864628883860934,0.04791026208780267,0.07459201335906962,0.05587706089019795,0.045558638930320375,0.065367804706097,0.053209863058964364,0.04385962740875296,0.06369814371598594,0.10177210927009561,0.02583302140235899,0.014379255920648244,0.038305417001247566
random_seed1001,Random (seed 1001),random,3to8,0.2,0.06209344650083736,0.056951858059778156,0.06758727671381018,0.06040784959827272,0.07004129543205054,0.06073657617708456,0.0855568071106729,general,0.19970611095428437,0.13957162946462626,0.023274931609630567,0.009252346754073937,0.07004129543205054,0.05565457939710823,0.0855568071106729,0.19970611095428437,0.037465777397156064,0.02176237070560442,0.05357373714446999,0.05751679137475344,0.0497978071626412,0.06528116616334938,0.12898680925369277,0.027153341770171924,0.015576607108116248,0.03792408895492567,0.0589369047988481,0.05223858111630259,0.0654147905248708,0.11124081373214723,0.019228260517120344,0.009382958769798184,0.02924300467967984,0.061878794397697355,0.05117239874157036,0.07400022617652931,0.11835278391838067,0.009252346754073937,-0.0005813024342062875,0.01936975538730604
random_seed1002,Random (seed 1002),random,3to8,0.2,0.06179065691567845,0.055998700258945946,0.06776572530811655,0.06056072797620963,0.07369811776894085,0.06704900803485575,0.08650246083389249,coding,0.195316457748413,0.13813431322574615,0.02471224784851067,-0.00863287925720213,0.06850174816648355,0.05293593378127814,0.08590492714067825,0.195316457748413,0.04185543060302743,0.0261031664609911,0.05557044053077677,0.05261970778593571,0.04384185705230041,0.06151248338025452,0.11800463914871218,0.03813551187515252,0.027637545347213698,0.049478262543678264,0.07369811776894085,0.06561441971392834,0.08179669861732589,0.1391019535064697,-0.00863287925720213,-0.020092248022556252,0.0031490717530248957,0.05234305394135368,0.042585859139123744,0.0636822254808594,0.10011420249938974,0.027490928173064866,0.01943636703491216,0.035703130304813244
random_seed1003,Random (seed 1003),random,3to8,0.2,0.06064471122847567,0.05471632109309016,0.06676190648563107,0.06114507561418717,0.06836872769182119,0.06035586825040463,0.08664749753871923,general,0.19493718147277805,0.13639983952045426,0.026446721553802566,0.008815536499023668,0.06836872769182119,0.05325633092880522,0.08664749753871923,0.19493718147277805,0.042234706878662376,0.02938552582263959,0.054272438645362686,0.05783644280717111,0.04969730059725799,0.06637451413469594,0.12970365762710578,0.02643649339675891,0.013817406475543626,0.03791511726379427,0.06445370842120324,0.05601581803593916,0.07275460745006125,0.1216535377502439,0.008815536499023668,-0.0026385620832442723,0.01969383758306519,0.051919965993707164,0.04080582533160711,0.06493198972838557,0.0993049812316893,0.02830014944076531,0.01986787211894996,0.03632812154293063
random_seed1004,Random (seed 1004),random,3to8,0.2,0.060363329823871076,0.05482621131949327,0.06611057358882755,0.06011205160942056,0.06480689961715905,0.0589727670870166,0.08147646693626641,general,0.1847814750671386,0.1352281096577645,0.02761845141649233,0.01179550766944848,0.06480689961715905,0.05055905933869291,0.08147646693626641,0.1847814750671386,0.05239041328430183,0.039084005951881065,0.06608600270748102,0.05967495841782116,0.05206769179045606,0.06703598137692879,0.133826701641083,0.02231344938278168,0.013655660629272403,0.030649731516837784,0.05642231645948413,0.048079381409438376,0.06491693166143345,0.10649463891983024,0.023974435329437327,0.013743955552578152,0.033926759362220844,0.060549144801019965,0.04862039523425151,0.0735502446399681,0.11580962300300612,0.01179550766944848,0.0035709313750268757,0.019202444612980006
random_seed1005,Random (seed 1005),random,3to8,0.2,0.05129421414072641,0.046336921581355286,0.05633517382093277,0.049853838884390114,0.0642426312455986,0.053115177333753275,0.07851754561311924,general,0.18317259788513152,0.1167334908246993,0.04611307024955752,0.025254733562469323,0.0642426312455986,0.051246084254681516,0.07851754561311924,0.18317259788513152,0.053999290466308913,0.035721711277961386,0.07269763159751923,0.04619546648307791,0.03874657328746003,0.05409762153007215,0.10359767436981215,0.05254247665405254,0.041035214066505024,0.06323063665628449,0.04122654754852678,0.03258172612744044,0.05060779847829166,0.07781329393386827,0.0526557803153993,0.04228953611850736,0.06239823460578937,0.05351221128570231,0.044841013510094896,0.06279998469697488,0.10235039710998528,0.025254733562469323,0.011861806988716106,0.03829500818252546
average_specialization,Average-Specialization,deterministic_milp,4to8,0.2,0.011433439610990848,0.009242181912154254,0.013668645773339143,0.006605910713047766,0.031682111580276305,0.028192043231725493,0.035059360922365106,coding,0.05979859113693231,0.023207492530345875,0.016914928257465378,0.009325308799744025,0.002951248375664737,-0.0014203911892642156,0.007941035134997219,0.008414783477783239,0.021122996807098282,0.012084742784500002,0.030819027602672765,0.010260573050430795,0.005279702437053106,0.015631281062456617,0.023010299205779905,0.009325308799744025,-0.0028366460204121147,0.02122624522447579,0.031682111580276305,0.028192043231725493,0.035059360922365106,0.05979859113693231,0.011689498424529932,0.005559245765209264,0.01808329069614404,0.0008398254375915573,-0.003289605138884292,0.00475525197881351,0.0016062963008880438,0.025521908998489273,0.017452157020568883,0.03399451440572734
coding_only,Coding-Only,deterministic_milp,4to8,0.2,0.007618702927587168,0.005724453817602732,0.009658164141622681,0.007725859635348067,0.00851208954677461,0.007295305627248872,0.014160431147528407,general,0.02427020072937003,0.017058696746826085,0.023063724040985167,0.005267579555511492,0.00851208954677461,0.003907605051142163,0.014128426677770811,0.02427020072937003,0.005267579555511492,-0.005453143596649157,0.016728683650493337,0.0065110028928779245,0.002649590554913961,0.010337175349389627,0.01460153579711898,0.01773407220840495,0.006904840826988257,0.02943620896339388,0.007570036516055799,0.004767004336905375,0.010325649147108453,0.014288110733032156,0.05719997882843009,0.04826903325319293,0.06707326865196221,0.007881682754640336,0.003997142728958098,0.011697076773391444,0.015074939727783176,0.01205326557159414,0.0032661909461021823,0.021386420726776243
